Id,Label,DegreeCentrality,BetweennessCentrality,EigenvectorCentrality,CommunityID,Merged_Faction
Ikshváku,Ikshváku,0.0898876404494382,0.0072778345250255,0.0003125226468229,4,Ramayana Narrative Faction
Sumitrá,Sumitrá,0.0898876404494382,0.0035495403472931,0.000467602815344,4,Ramayana Narrative Faction
Angad,Angad,0.0786516853932584,0.0,0.0002194466704849,4,Ramayana Narrative Faction
Rukmini,Rukmini,0.0674157303370786,0.0048518896833503,0.004944126553907,0,Mahabharata Epic Faction
Atri,Atri,0.1573033707865168,0.0201949267960503,0.0021276917650768,2,Rig-Vedic Pantheonic Faction
Vasishtha,Vasishtha,0.1685393258426966,0.0020003404834865,0.0051270656087694,2,Rig-Vedic Pantheonic Faction
Tvastar,Tvastar,0.1235955056179775,0.003255873340143,0.001644157198959,2,Rig-Vedic Pantheonic Faction
Gautama,Gautama,0.1348314606741573,0.0082992849846782,0.0052836724020982,2,Rig-Vedic Pantheonic Faction
Guha,Guha,0.0786516853932584,0.0203524004085801,0.0003529878815685,4,Ramayana Narrative Faction
Agastya,Agastya,0.1123595505617977,0.0096186584950629,0.002217583071888,2,Rig-Vedic Pantheonic Faction
Daksha,Daksha,0.1573033707865168,0.008043922369765,0.001840350565788,2,Rig-Vedic Pantheonic Faction
Prahlāda,Prahlāda,0.1123595505617977,0.0449523323118828,0.002818484743827,2,Rig-Vedic Pantheonic Faction
Naraka,Naraka,0.1011235955056179,0.0276855635001702,0.0039306166755048,0,Mahabharata Epic Faction
Mahendra,Mahendra,0.1348314606741573,0.0181945863125638,0.0050771819964997,2,Rig-Vedic Pantheonic Faction
Kali,Kali,0.1235955056179775,0.0488806605379639,0.0045381505635611,0,Mahabharata Epic Faction
Matarisvan,Matarisvan,0.0449438202247191,0.0049795709908069,0.0004646389266629,2,Rig-Vedic Pantheonic Faction
Níla,Níla,0.1235955056179775,0.054153898535921,0.001519754451362,4,Ramayana Narrative Faction
Tárá,Tárá,0.0786516853932584,0.0070309839972761,0.0002822380649174,4,Ramayana Narrative Faction
Kapila,Kapila,0.0786516853932584,0.0306860742254,0.0005809104878455,4,Ramayana Narrative Faction
Sagara,Sagara,0.1123595505617977,0.0366445352400408,0.0014813497171557,4,Ramayana Narrative Faction
Kanva,Kanva,0.0561797752808988,0.0009576098059244,0.0005798850471207,2,Rig-Vedic Pantheonic Faction
Márícha,Márícha,0.0449438202247191,0.0033197139938712,7.73853722055956e-05,4,Ramayana Narrative Faction
Parjanya,Parjanya,0.1348314606741573,0.0716760299625468,0.0011380209649339,2,Rig-Vedic Pantheonic Faction
Vivasvan,Vivasvan,0.0449438202247191,0.0012768130745658,0.0006214540699465,2,Rig-Vedic Pantheonic Faction
Kumbhakarṇa,Kumbhakarṇa,0.0674157303370786,0.0143726591760299,0.0002371176647112,4,Ramayana Narrative Faction
Dhruva,Dhruva,0.0674157303370786,0.0096441947565543,0.0010283394529939,0,Mahabharata Epic Faction
Eve,Eve,0.1011235955056179,0.0510299625468164,0.0023641236540304,2,Rig-Vedic Pantheonic Faction
Kaśyap,Kaśyap,0.0561797752808988,0.0287963908750425,0.0005551116141611,2,Rig-Vedic Pantheonic Faction
